id,path,label,baseline_split,fold,oof_dusty_prob,oof_pred,mislabel_score_oof,dup_score,mislabel_score_v2_add,mislabel_rank_oof_global,rank_in_fold,is_candidate_top50,is_candidate_top100,active_candidate_set,sample_weight_before_removal
train_00244,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00244.jpg,1,train,2,0.00021262992231640965,0,0.9997873700776836,0.25,0.0599031934183343,13,5,True,True,True,0.875
train_00172,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00172.jpg,0,train,1,0.9974695444107056,1,0.9974695444107056,0.0,1.32730977519685e-06,47,8,True,True,True,1.0
train_00764,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00764.jpg,0,train,0,0.9992788434028625,1,0.9992788434028625,0.0,0.0002839091256818,22,10,True,True,True,1.0
train_00569,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00569.jpg,1,train,1,0.00011413652828196064,0,0.999885863471718,0.0,0.0707942339573329,11,2,True,True,True,1.0
train_00435,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00435.jpg,1,train,4,0.010695806704461575,0,0.9893041932955384,0.5625,0.1668024085801977,77,7,True,True,True,0.71875
train_00342,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00342.jpg,1,train,0,5.633481123368256e-05,0,0.9999436651887663,0.0,0.0004234844957017,6,5,True,True,True,1.0
train_00024,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00024.jpg,1,train,3,0.0833468809723854,0,0.9166531190276146,0.0,0.0002158095961299,177,10,True,True,True,1.0
train_01138,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01138.jpg,0,train,4,0.9985979199409485,1,0.9985979199409485,0.0,0.0,36,3,True,True,True,1.0
train_00194,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00194.jpg,1,train,1,0.0010585790732875466,0,0.9989414209267125,0.5625,0.1068691555999244,33,7,True,True,True,0.71875
train_00553,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00553.jpg,1,train,4,0.006078918464481831,0,0.9939210815355182,0.0,0.0107514154461114,64,6,True,True,True,1.0
train_00795,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00795.jpg,1,train,4,0.013586985878646374,0,0.9864130141213536,0.0,0.326919991768745,83,9,True,True,True,1.0
train_01192,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01192.jpg,1,train,2,0.0007445971132256091,0,0.9992554028867744,0.0,0.0493525197495937,23,8,True,True,True,1.0
train_00353,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00353.jpg,1,train,2,0.0006887938361614943,0,0.9993112061638385,0.0,0.002969372513487,21,7,True,True,True,1.0
train_01118,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01118.jpg,1,train,4,0.014881805516779423,0,0.9851181944832206,1.0,0.9345260682678898,85,10,True,True,True,0.5
train_01223,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01223.jpg,1,train,1,0.0009971547406166792,0,0.9990028452593833,0.0,0.0,29,6,True,True,True,1.0
train_00509,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00509.jpg,1,train,0,4.048697064717999e-06,0,0.9999959513029353,0.0625,0.0550606975295077,2,2,True,True,True,0.96875
train_00853,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00853.jpg,1,train,1,0.0007743787136860192,0,0.999225621286314,0.0,0.0135041074978863,25,4,True,True,True,1.0
train_00395,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00395.jpg,1,train,2,0.00022521804203279316,0,0.9997747819579672,0.0,0.1351671154474843,14,6,True,True,True,1.0
train_00238,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00238.jpg,1,train,0,2.4102404495351948e-05,0,0.9999758975955046,0.0,0.011546295447974,4,4,True,True,True,1.0
train_00481,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00481.jpg,1,train,1,0.0032614374067634344,0,0.9967385625932366,0.0,0.0017154425249047,52,10,True,True,True,1.0
train_00246,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00246.jpg,0,train,4,0.9998842477798462,1,0.9998842477798462,0.0,0.0802219232338989,12,1,True,True,True,1.0
train_01135,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01135.jpg,1,train,2,8.3398241258692e-05,0,0.9999166017587413,1.0,0.2675333837320417,8,2,True,True,True,0.5
train_00827,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00827.jpg,1,train,3,0.07906074821949005,0,0.92093925178051,0.0,0.0106149645304326,173,9,True,True,True,1.0
train_01360,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01360.jpg,1,train,3,0.05032430961728096,0,0.949675690382719,0.0,0.015804804504072,138,4,True,True,True,1.0
train_00056,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00056.jpg,1,train,0,0.0005238138837739825,0,0.999476186116226,0.0,0.0001628841399305,18,8,True,True,True,1.0
train_00732,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00732.jpg,1,train,0,0.00038318653241731226,0,0.9996168134675827,0.0,0.0046565378231589,15,6,True,True,True,1.0
train_00061,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00061.jpg,1,train,1,0.0004713311791419983,0,0.999528668820858,0.0,7.351359583100171e-05,17,3,True,True,True,1.0
train_01082,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01082.jpg,1,train,3,0.06309307366609573,0,0.9369069263339043,0.0,0.0024090706804191,156,5,True,True,True,1.0
train_00312,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00312.jpg,1,train,0,0.0006039206637069583,0,0.999396079336293,0.0,0.0017577895581253,19,9,True,True,True,1.0
train_01097,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01097.jpg,1,train,3,0.018195398151874542,0,0.9818046018481255,0.0,0.0105092778892212,93,1,True,True,True,1.0
train_00286,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00286.jpg,1,train,3,0.06976193189620972,0,0.9302380681037903,0.0,0.0015699488901381,164,7,True,True,True,1.0
train_00394,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00394.jpg,0,train,2,0.9999685287475586,1,0.9999685287475586,0.0,6.983277283921097e-05,5,1,True,True,True,1.0
train_00947,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00947.jpg,1,train,3,0.06448838114738464,0,0.9355116188526154,0.0,0.0839542436872643,158,6,True,True,True,1.0
train_01033,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01033.jpg,1,train,1,0.0026342561468482018,0,0.9973657438531518,0.0,0.001355767935457,49,9,True,True,True,1.0
train_00613,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00613.jpg,1,train,0,6.426289928640472e-06,0,0.9999935737100714,0.0,0.0146148070957722,3,3,True,True,True,1.0
train_01013,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01013.jpg,1,train,3,0.07298453152179718,0,0.9270154684782028,0.0,0.0067880071885255,166,8,True,True,True,1.0
train_00356,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00356.jpg,1,train,1,7.41639596526511e-05,0,0.9999258360403473,0.0,0.0536368047291265,7,1,True,True,True,1.0
train_01241,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01241.jpg,1,train,0,1.2820253232348477e-06,0,0.9999987179746768,0.0,0.0009281991160581,1,1,True,True,True,1.0
train_00800,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00800.jpg,0,train,4,0.9883356094360352,1,0.9883356094360352,0.0,0.1803844859470381,79,8,True,True,True,1.0
train_00968,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00968.jpg,1,train,3,0.022031893953680992,0,0.977968106046319,0.0,0.0010860473812095,105,2,True,True,True,1.0
train_01177,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01177.jpg,1,train,2,9.575626609148458e-05,0,0.9999042437339085,0.25,0.0541114943095655,9,3,True,True,True,0.875
train_00675,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00675.jpg,1,train,4,0.002346266759559512,0,0.9976537332404405,0.0,0.0004184998482549,46,5,True,True,True,1.0
